ZIPCode,AreaSize,,,
10001,62,,,
10002,88,,,
10003,58,,,
10004,56,,,
10005,7,,,
10006,9,,,
10007,16,,,
10009,62,,,
10010,39,,,
10011,66,,,
10012,32,,,
10013,55,,,
10014,57,,,
10015,,,,
10016,53,,,
10017,32,,,
10018,32,,,
10019,68,,,
10020,2,,,
10021,39,,,
10022,44,,,
10023,49,,,
10024,86,,,
10025,75,,,
10026,33,,,
10027,87,,,
10028,31,,,
10029,83,,,
10030,28,,,
10031,65,,,
10032,66,,,
10033,60,,,
10034,113,,,
10035,140,,,
10036,44,,,
10037,26,,,
10038,30,,,
10039,46,,,
10040,38,,,
10041,1,,,
10044,24,,,
10045,0.8,,,
10048,,,,
10055,1,,,
10065,44,,,
10060,0.2,,,
10069,10,,,
10075,16,,,
10090,0.2,,,
10095,0.2,,,
10098,0.2,,,
10099,0.2,,,
10103,1,,,
10104,0.2,,,
10105,1,,,
10106,0.2,,,
10107,0.4,,,
10110,1,,,
10111,1,,,
10112,0.5,,,
10115,0.5,,,
10118,1,,,
10119,1,,,
10120,0.2,,,
10121,0.2,,,
10122,1,,,
10123,0.2,,,
10128,47,,,
10151,0.2,,,
10152,0.5,,,
10153,0.5,,,
10154,0.5,,,
10155,0.5,,,
10158,0.5,,,
10161,0.2,,,
10162,1,,,
10165,1,,,
10166,0.2,,,
10167,0.5,,,
10168,0.5,,,
10169,0.5,,,
10170,2,,,
10171,0.5,,,
10172,2,,,
10173,0.5,,,
10174,0.5,,,
10175,0.5,,,
10176,1,,,
10177,0.5,,,
10178,0.2,,,
10199,1,,,
10270,0.2,,,
10271,0.8,,,
10278,1,,,
10279,0.5,,,
10280,14,,,
10281,9,,,
10282,9,,,
10301,366,,,
10302,119,,,
10303,314,,,
10304,387,,,
10305,425,,,
10306,747,,,
10307,196,,,
10308,197,,,
10309,672,,,
10310,180,,,
10311,1,,,
10312,768,,,
10314,1371,,,
10451,101,,,
10452,98,,,
10453,92,,,
10454,104,,,
10455,71,,,
10456,102,,,
10457,106,,,
10458,101,,,
10459,82,,,
10460,132,,,
10461,240,,,
10462,148,,,
10463,145,,,
10464,350,,,
10465,343,,,
10466,202,,,
10467,233,,,
10468,108,,,
10469,248,,,
10470,142,,,
10471,258,,,
10472,105,,,
10473,218,,,
10474,153,,,
10475,172,,,
10803,,,,
11001,,,,
11004,158,,,
11005,,,,
11040,,,,
11101,300,,,
11102,100,,,
11103,100,,,
11104,70,,,
11105,200,,,
11106,100,,,
11109,5,,,
11201,142,,,
11203,215,,,
11204,159,,,
11205,95,,,
11206,143,,,
11207,267,,,
11208,346,,,
11209,216,,,
11210,164,,,
11211,239,,,
11212,154,,,
11213,109,,,
11214,218,,,
11215,218,,,
11216,94,,,
11217,75,,,
11218,143,,,
11219,148,,,
11220,179,,,
11221,138,,,
11222,152,,,
11223,207,,,
11224,154,,,
11225,88,,,
11226,129,,,
11228,147,,,
11229,217,,,
11230,184,,,
11231,142,,,
11232,128,,,
11233,135,,,
11234,755,,,
11235,225,,,
11236,360,,,
11237,98,,,
11238,111,,,
11239,57,,,
11241,0.2,,,
11242,0.2,,,
11243,2,,,
11249,0.2,,,
11251,,,,
11252,10,,,
11256,2,,,
11351,10,,,
11354,217,,,
11355,200,,,
11356,180,,,
11357,280,,,
11358,250,,,
11359,80,,,
11360,180,,,
11361,240,,,
11362,260,,,
11363,120,,,
11364,300,,,
11365,250,,,
11366,85,,,
11367,238,,,
11368,500,,,
11369,200,,,
11370,100,,,
11371,160,,,
11372,100,,,
11373,200,,,
11374,120,,,
11375,460,,,
11377,250,,,
11378,250,,,
11379,230,,,
11385,450,,,
11411,170,,,
11412,200,,,
11413,350,,,
11414,310,,,
11415,80,,,
11416,90,,,
11417,163,,,
11418,163,,,
11419,163,,,
11420,300,,,
11421,163,,,
11422,600,,,
11423,200,,,
11426,158,,,
11427,158,,,
11428,83,,,
11429,130,,,
11430,350,,,
11432,280,,,
11433,200,,,
11434,350,,,
11435,200,,,
11436,160,,,
11691,360,,,
11692,160,,,
11693,350,,,
11694,300,,,
11695,10,,,
11697,350,,,